CustomerID,Name,Gender,DateOfBirth,Address,City,State,ZipCode,RiskRating,Email,CustomerSince,AccountBalance
CUST0001,Connie Morris,Male,1999-09-24,52707 Brown Locks Suite 382,Stevensbury,Iowa,06292,5,blewis@example.org,2020-04-09,78707.49
CUST0002,Amber Flores,Male,1955-10-10,05155 Amanda Hills,Lake Luis,Connecticut,57090,2,xrobinson@example.net,2015-08-04,49172.48
CUST0003,Manuel Garcia,Female,1947-02-08,2136 Salinas Landing Apt. 183,North Garrett,Oregon,95702,2,jacobwest@example.net,2018-01-21,78638.48
CUST0004,Gary Brady,Male,1953-10-25,244 Pace Villages,Pettyshire,South Carolina,98342,2,robertsawyer@example.net,2007-04-28,76444.24
CUST0005,George Jimenez,Female,1993-03-31,7097 Allen Rue Apt. 148,Michellehaven,Texas,35768,5,ufaulkner@example.org,2021-05-11,48113.67
CUST0006,Brian Long,Female,1971-10-22,794 Green Throughway Apt. 607,New Phillipmouth,Idaho,09792,3,berrylori@example.org,2020-03-24,9104.05
CUST0007,Cassandra Bryant,Male,1946-08-30,9241 Powell Plaza,South Jasonborough,Wyoming,24262,3,garciajohnny@example.net,2011-05-20,11506.09
CUST0008,Jeremiah Ochoa,Male,1986-01-17,1678 Mary Spurs,Port Loretta,Texas,11619,2,nhensley@example.org,2017-01-14,1908.06
CUST0009,Haley Hardy,Female,1954-05-04,19452 Amy Vista Suite 343,West Charles,North Dakota,86455,5,millerjames@example.org,2025-01-20,89039.01
CUST0010,Kenneth Chapman,Male,1942-03-13,75913 Francisco Mission Apt. 874,Port Marissa,Nevada,78213,2,smoore@example.org,2011-09-04,44205.08
CUST0011,Tammie Wilson,Male,1954-06-19,10555 Thomas Ways Apt. 048,South Roberthaven,Georgia,28300,5,lesliesanchez@example.net,2019-02-01,36422.05
CUST0012,William Higgins,Female,1966-06-22,3854 King Lock Suite 477,Lake Brittanyport,Delaware,44073,2,penningtonmartin@example.org,2006-06-22,78293.64
CUST0013,Natalie Conley,Male,1979-12-07,24622 Meagan Inlet,Andersonview,Arkansas,70750,4,johnny71@example.org,2011-10-20,96978.79
